,reactKey,timeStr,type,time,overloadTime,profileUrl,overloadTimeStr,isHome,injuredPlayerOut,swap,player.id,player.profileUrl,ownGoal,suffix,isPenaltyShootoutEvent,nameStr,firstName,lastName,playerId,newScore,penShootoutScore,assistStr,assistProfileUrl,player.name,assistPlayerId,match_id,teamid,card,halfStrShort,eventId
3,53SubstitutionNaN526311false,53,Substitution,53,,/players/NaN/,False,False,False,"[{'name': 'Tesho Akindele', 'id': '526311', 'profileUrl': '/players/526311/tesho-akindele'}, {'name': 'Michel', 'id': '39561', 'profileUrl': '/players/39561/michel'}]",,/players/undefined/,,,,,,,,,,,,,,1894740,7949.0,,,
4,68SubstitutionNaN198431true,68,Substitution,68,,/players/NaN/,False,True,False,"[{'name': 'Eric Alexander', 'id': '198431', 'profileUrl': '/players/198431/eric-alexander'}, {'name': 'Marco Donadel', 'id': '24502', 'profileUrl': '/players/24502/marco-donadel'}]",,/players/undefined/,,,,,,,,,,,,,,1894740,307692.0,,,
5,73SubstitutionNaN424050false,73,Substitution,73,,/players/NaN/,False,False,False,"[{'name': 'Kyle Bekker', 'id': '424050', 'profileUrl': '/players/424050/kyle-bekker'}, {'name': 'Ryan Hollingshead', 'id': '525623', 'profileUrl': '/players/525623/ryan-hollingshead'}]",,/players/undefined/,,,,,,,,,,,,,,1894740,7949.0,,,
6,77Goal0undefinedfalse,77,Goal,77,,/players/0/matt-hedges,False,False,,,0.0,/players/0/matt-hedges,,,False,Matt Hedges,Matt,Hedges,0.0,"[2, 1]",,,,Matt Hedges,,1894740,7949.0,,,
7,80SubstitutionNaN70329false,80,Substitution,80,,/players/NaN/,False,False,False,"[{'name': 'Atiba Harris', 'id': '70329', 'profileUrl': '/players/70329/atiba-harris'}, {'name': 'Moises Hernandez', 'id': '254964', 'profileUrl': '/players/254964/moises-hernandez'}]",,/players/undefined/,,,,,,,,,,,,,,1894740,7949.0,,,
8,83SubstitutionNaN40260true,83,Substitution,83,,/players/NaN/,False,True,False,"[{'name': 'Patrice Bernier', 'id': '40260', 'profileUrl': '/players/40260/patrice-bernier'}, {'name': 'Andres Romero', 'id': '120975', 'profileUrl': '/players/120975/andres-romero'}]",,/players/undefined/,,,,,,,,,,,,,,1894740,307692.0,,,
0,51Goal0undefinedtrue,51,Goal,51,,/players/0/lucas-pittinari,False,True,,,0.0,/players/0/lucas-pittinari,,,False,Lucas Pittinari,Lucas,Pittinari,0.0,"[1, 0]",,assist by Gabriel Torres,/players/0/gabriel-torres,Lucas Pittinari,0.0,1894332,8314.0,,,
1,62SubstitutionNaN206302false,62,Substitution,62,,/players/NaN/,False,False,False,"[{'name': 'Cristian Techera', 'id': '206302', 'profileUrl': '/players/206302/cristian-techera'}, {'name': 'Kianz Froese', 'id': '590261', 'profileUrl': '/players/590261/kianz-froese'}]",,/players/undefined/,,,,,,,,,,,,,,1894332,307691.0,,,
2,63SubstitutionNaN23291true,63,Substitution,63,,/players/NaN/,False,True,False,"[{'name': 'Kevin Doyle', 'id': '23291', 'profileUrl': '/players/23291/kevin-doyle'}, {'name': 'Gabriel Torres', 'id': '118548', 'profileUrl': '/players/118548/gabriel-torres'}]",,/players/undefined/,,,,,,,,,,,,,,1894332,8314.0,,,
3,70SubstitutionNaN309555false,70,Substitution,70,,/players/NaN/,False,False,False,"[{'name': 'Darren Mattocks', 'id': '309555', 'profileUrl': '/players/309555/darren-mattocks'}, {'name': 'Kekuta Manneh', 'id': '432182', 'profileUrl': '/players/432182/kekuta-manneh'}]",,/players/undefined/,,,,,,,,,,,,,,1894332,307691.0,,,
4,77SubstitutionNaN50473false,77,Substitution,77,,/players/NaN/,False,False,False,"[{'name': 'Pedro Morales', 'id': '50473', 'profileUrl': '/players/50473/pedro-morales'}, {'name': 'Matias Laba', 'id': '209306', 'profileUrl': '/players/209306/matias-laba'}]",,/players/undefined/,,,,,,,,,,,,,,1894332,307691.0,,,
5,86SubstitutionNaN2862true,86,Substitution,86,,/players/NaN/,False,True,False,"[{'name': 'Vicente Sanchez', 'id': '2862', 'profileUrl': '/players/2862/vicente-sanchez'}, {'name': 'Juan Edgardo Ramirez', 'id': '265728', 'profileUrl': '/players/265728/juan-edgardo-ramirez'}]",,/players/undefined/,,,,,,,,,,,,,,1894332,8314.0,,,
0,25Goal0undefinedtrue,25,Goal,25,,/players/0/john-stertzer,False,True,,,0.0,/players/0/john-stertzer,,,False,John Stertzer,John,Stertzer,0.0,"[1, 0]",,assist by Devon Sandoval,/players/0/devon-sandoval,John Stertzer,0.0,1894333,6606.0,,,
1,49Goal0undefinedtrue,49,Goal,49,,/players/0/álvaro-saborio,False,True,,,0.0,/players/0/álvaro-saborio,,,False,Álvaro Saborio,Álvaro,Saborio,0.0,"[2, 0]",,assist by Luke Mulholland,/players/0/luke-mulholland,Álvaro Saborio,0.0,1894333,6606.0,,,
2,63SubstitutionNaN18594true,63,Substitution,63,,/players/NaN/,False,True,False,"[{'name': 'Javier Damian Morales', 'id': '18594', 'profileUrl': '/players/18594/javier-damian-morales'}, {'name': 'John Stertzer', 'id': '431995', 'profileUrl': '/players/431995/john-stertzer'}]",,/players/undefined/,,,,,,,,,,,,,,1894333,6606.0,,,
3,66SubstitutionNaN526485false,66,Substitution,66,,/players/NaN/,False,False,False,"[{'name': 'Thomas McNamara', 'id': '526485', 'profileUrl': '/players/526485/thomas-mcnamara'}, {'name': 'Khiry Shelton', 'id': '621925', 'profileUrl': '/players/621925/khiry-shelton'}]",,/players/undefined/,,,,,,,,,,,,,,1894333,546238.0,,,
4,66SubstitutionNaN309581false,66,Substitution,66,,/players/NaN/,False,False,False,"[{'name': 'Sebastian Velasquez', 'id': '309581', 'profileUrl': '/players/309581/sebastian-velasquez'}, {'name': 'Patrick Mullins', 'id': '119437', 'profileUrl': '/players/119437/patrick-mullins'}]",,/players/undefined/,,,,,,,,,,,,,,1894333,546238.0,,,
5,78SubstitutionNaN115989true,78,Substitution,78,,/players/NaN/,False,True,False,"[{'name': 'Kenny Mansally', 'id': '115989', 'profileUrl': '/players/115989/kenny-mansally'}, {'name': 'Demar Phillips', 'id': '103065', 'profileUrl': '/players/103065/demar-phillips'}]",,/players/undefined/,,,,,,,,,,,,,,1894333,6606.0,,,
6,81SubstitutionNaN621918false,81,Substitution,81,,/players/NaN/,False,False,False,"[{'name': 'Connor Brandt', 'id': '621918', 'profileUrl': '/players/621918/connor-brandt'}, {'name': 'Chris Wingert', 'id': '69466', 'profileUrl': '/players/69466/chris-wingert'}]",,/players/undefined/,,,,,,,,,,,,,,1894333,546238.0,,,
7,90SubstitutionNaN215423true,90,Substitution,90,,/players/NaN/,False,True,False,"[{'name': 'Joao Plata', 'id': '215423', 'profileUrl': '/players/215423/joao-plata'}, {'name': 'Álvaro Saborio', 'id': '41564', 'profileUrl': '/players/41564/álvaro-saborio'}]",,/players/undefined/,,,,,,,,,,,,,,1894333,6606.0,,,
0,56SubstitutionNaN621940false,56,Substitution,56,,/players/NaN/,False,False,False,"[{'name': 'Connor Hallisey', 'id': '621940', 'profileUrl': '/players/621940/connor-hallisey'}, {'name': 'Jacob Peterson', 'id': '69464', 'profileUrl': '/players/69464/jacob-peterson'}]",,/players/undefined/,,,,,,,,,,,,,,1894739,6604.0,,,
1,58SubstitutionNaN621936false,58,Substitution,58,,/players/NaN/,False,False,False,"[{'name': 'Saad Abdul-Salam', 'id': '621936', 'profileUrl': '/players/621936/saad-abdul-salam'}, {'name': 'Jimmy Medranda', 'id': '486461', 'profileUrl': '/players/486461/jimmy-medranda'}]",,/players/undefined/,,,,,,,,,,,,,,1894739,6604.0,,,
2,64SubstitutionNaN315232true,64,Substitution,64,,/players/NaN/,False,True,False,"[{'name': 'Andy Rose', 'id': '315232', 'profileUrl': '/players/315232/andy-rose'}, {'name': 'Lamar Neagle', 'id': '176712', 'profileUrl': '/players/176712/lamar-neagle'}]",,/players/undefined/,,,,,,,,,,,,,,1894739,130394.0,,,
3,73SubstitutionNaN621946true,73,Substitution,73,,/players/NaN/,False,True,False,"[{'name': 'Cristian Roldan', 'id': '621946', 'profileUrl': '/players/621946/cristian-roldan'}, {'name': 'Marco Pappa', 'id': '111199', 'profileUrl': '/players/111199/marco-pappa'}]",,/players/undefined/,,,,,,,,,,,,,,1894739,130394.0,,,
4,77SubstitutionNaN168169false,77,Substitution,77,,/players/NaN/,False,False,False,"[{'name': 'Graham Zusi', 'id': '168169', 'profileUrl': '/players/168169/graham-zusi'}, {'name': 'Servando Carrasco', 'id': '254989', 'profileUrl': '/players/254989/servando-carrasco'}]",,/players/undefined/,,,,,,,,,,,,,,1894739,6604.0,,,
5,84SubstitutionNaN621942true,84,Substitution,84,,/players/NaN/,False,True,False,"[{'name': 'Darwin Jones', 'id': '621942', 'profileUrl': '/players/621942/darwin-jones'}, {'name': 'Chad Barrett', 'id': '69489', 'profileUrl': '/players/69489/chad-barrett'}]",,/players/undefined/,,,,,,,,,,,,,,1894739,130394.0,,,
0,19Goal0undefinedtrue,19,Goal,19,,/players/0/krisztian-nemeth,False,True,,,0.0,/players/0/krisztian-nemeth,,,False,Krisztian Nemeth,Krisztian,Nemeth,0.0,"[1, 0]",,assist by Kevin Ellis,/players/0/kevin-ellis,Krisztian Nemeth,0.0,1894338,6604.0,,,
1,43Card0undefinedfalse,43,Card,43,,/players/0/zach-loyd,False,False,,,0.0,/players/0/zach-loyd,,,,Zach Loyd,,,,,,,,Zach Loyd,,1894338,7949.0,YellowRed,,
2,46SubstitutionNaN107846false,46,Substitution,46,,/players/NaN/,False,False,False,"[{'name': 'Rolando Escobar', 'id': '107846', 'profileUrl': '/players/107846/rolando-escobar'}, {'name': 'Blas Perez', 'id': '50281', 'profileUrl': '/players/50281/blas-perez'}]",,/players/undefined/,,,,,,,,,,,,,,1894338,7949.0,,,
3,51Goal0undefinedtrue,51,Goal,51,,/players/0/benny-feilhaber,False,True,,,0.0,/players/0/benny-feilhaber,,,False,Benny Feilhaber,Benny,Feilhaber,0.0,"[2, 0]",,assist by Krisztian Nemeth,/players/0/krisztian-nemeth,Benny Feilhaber,0.0,1894338,6604.0,,,
4,57Goal0undefinedtrue,57,Goal,57,,/players/0/kevin-ellis,False,True,,,0.0,/players/0/kevin-ellis,,,False,Kevin Ellis,Kevin,Ellis,0.0,"[3, 0]",,assist by Graham Zusi,/players/0/graham-zusi,Kevin Ellis,0.0,1894338,6604.0,,,
5,64Goal0undefinedtrue,64,Goal,64,,/players/0/graham-zusi,False,True,,,0.0,/players/0/graham-zusi,,,False,Graham Zusi,Graham,Zusi,0.0,"[4, 0]",,assist by Connor Hallisey,/players/0/connor-hallisey,Graham Zusi,0.0,1894338,6604.0,,,
6,65SubstitutionNaN45464true,65,Substitution,65,,/players/NaN/,False,True,False,"[{'name': 'Marcel De Jong', 'id': '45464', 'profileUrl': '/players/45464/marcel-de-jong'}, {'name': 'Connor Hallisey', 'id': '621940', 'profileUrl': '/players/621940/connor-hallisey'}]",,/players/undefined/,,,,,,,,,,,,,,1894338,6604.0,,,
7,71SubstitutionNaN254989true,71,Substitution,71,,/players/NaN/,False,True,False,"[{'name': 'Servando Carrasco', 'id': '254989', 'profileUrl': '/players/254989/servando-carrasco'}, {'name': 'Roger Espinoza', 'id': '71844', 'profileUrl': '/players/71844/roger-espinoza'}]",,/players/undefined/,,,,,,,,,,,,,,1894338,6604.0,,,
8,72SubstitutionNaN39561false,72,Substitution,72,,/players/NaN/,False,False,False,"[{'name': 'Michel', 'id': '39561', 'profileUrl': '/players/39561/michel'}, {'name': 'Mauro Diaz', 'id': '163806', 'profileUrl': '/players/163806/mauro-diaz'}]",,/players/undefined/,,,,,,,,,,,,,,1894338,7949.0,,,
9,74SubstitutionNaN206698false,74,Substitution,74,,/players/NaN/,False,False,False,"[{'name': 'David Texeira', 'id': '206698', 'profileUrl': '/players/206698/david-texeira'}, {'name': 'Tesho Akindele', 'id': '526311', 'profileUrl': '/players/526311/tesho-akindele'}]",,/players/undefined/,,,,,,,,,,,,,,1894338,7949.0,,,
