,id,usingOptaId,imageUrl,pageUrl,shirt,isHomeTeam,timeSubbedOn,timeSubbedOff,usualPosition,positionRow,role,events,name.firstName,name.lastName,events.sub.subbedOut,match_id,teamid,events.as,events.g,minutesPlayed,shotmap,stats,rating.num,rating.bgcolor,rating.isTop.isTopRating,rating.isTop.isMatchFinished,fantasyScore.bgcolor,teamData.home.id,teamData.home.color,teamData.away.id,teamData.away.color,events.ycrc,events.yc,events.rc,events.og
0,198435,False,https://images.fotmob.com/image_resources/playerimages/198435.png,/players/198435/zach-loyd,17,False,,,1,1,Defender,,Zach,Loyd,,1894270,7949.0,,,,,,,,,,,,,,,,,,
1,431956,False,https://images.fotmob.com/image_resources/playerimages/431956.png,/players/431956/walker-zimmerman,25,False,,,1,1,Defender,,Walker,Zimmerman,,1894270,7949.0,,,,,,,,,,,,,,,,,,
2,308973,False,https://images.fotmob.com/image_resources/playerimages/308973.png,/players/308973/matt-hedges,24,False,,,1,1,Defender,,Matt,Hedges,,1894270,7949.0,,,,,,,,,,,,,,,,,,
3,70329,False,https://images.fotmob.com/image_resources/playerimages/70329.png,/players/70329/atiba-harris,14,False,,87.0,1,1,Defender,,Atiba,Harris,87.0,1894270,7949.0,,,,,,,,,,,,,,,,,,
0,70338,False,https://images.fotmob.com/image_resources/playerimages/70338.png,/players/70338/chris-seitz,18,False,,,0,0,Keeper,,Chris,Seitz,,1894270,7949.0,,,,,,,,,,,,,,,,,,
0,254996,False,https://images.fotmob.com/image_resources/playerimages/254996.png,/players/254996/david-bingham,1,True,,,0,0,Keeper,,David,Bingham,,1894271,6603.0,,,,,,,,,,,,,,,,,,
0,309798,False,https://images.fotmob.com/image_resources/playerimages/309798.png,/players/309798/cordell-cato,7,True,,,1,1,Defender,,Cordell,Cato,,1894271,6603.0,,,,,,,,,,,,,,,,,,
1,164694,False,https://images.fotmob.com/image_resources/playerimages/164694.png,/players/164694/victor-bernárdez,5,True,,79.0,1,1,Defender,,Victor,Bernárdez,79.0,1894271,6603.0,,,,,,,,,,,,,,,,,,
2,69693,False,https://images.fotmob.com/image_resources/playerimages/69693.png,/players/69693/clarence-goodson,21,True,,,1,1,Defender,,Clarence,Goodson,,1894271,6603.0,,,,,,,,,,,,,,,,,,
3,198463,False,https://images.fotmob.com/image_resources/playerimages/198463.png,/players/198463/shaun-francis,20,True,,37.0,1,1,Defender,,Shaun,Francis,37.0,1894271,6603.0,,,,,,,,,,,,,,,,,,
0,69756,False,https://images.fotmob.com/image_resources/playerimages/69756.png,/players/69756/chris-wondolowski,8,True,,,2,3,Midfielder,,Chris,Wondolowski,,1894271,6603.0,,,,,,,,,,,,,,,,,,
1,621890,False,https://images.fotmob.com/image_resources/playerimages/621890.png,/players/621890/fatai-alashe,27,True,,,2,3,Midfielder,,Fatai,Alashe,,1894271,6603.0,,,,,,,,,,,,,,,,,,
2,18382,False,https://images.fotmob.com/image_resources/playerimages/18382.png,/players/18382/matias-pérez-garcia,10,True,,,2,3,Midfielder,,Matias Pérez,Garcia,,1894271,6603.0,,,,,,,,,,,,,,,,,,
0,172890,False,https://images.fotmob.com/image_resources/playerimages/172890.png,/players/172890/sanna-nyassi,17,True,,64.0,3,5,Attacker,,Sanna,Nyassi,64.0,1894271,6603.0,,,,,,,,,,,,,,,,,,
1,432968,False,https://images.fotmob.com/image_resources/playerimages/432968.png,/players/432968/adam-jahn,14,True,,,3,5,Attacker,,Adam,Jahn,,1894271,6603.0,,,,,,,,,,,,,,,,,,
2,177688,False,https://images.fotmob.com/image_resources/playerimages/177688.png,/players/177688/innocent-emeghara,11,True,,,3,5,Attacker,,Innocent,Emeghara,,1894271,6603.0,,,,,,,,,,,,,,,,,,
0,282272,False,https://images.fotmob.com/image_resources/playerimages/282272.png,/players/282272/olmes-garcia,13,False,,87,3,5,Attacker,,Olmes,Garcia,87.0,1894271,6606.0,,,,,,,,,,,,,,,,,,
1,41564,False,https://images.fotmob.com/image_resources/playerimages/41564.png,/players/41564/álvaro-saborio,15,False,,68,3,5,Attacker,,Álvaro,Saborio,68.0,1894271,6606.0,,,,,,,,,,,,,,,,,,
2,525124,False,https://images.fotmob.com/image_resources/playerimages/525124.png,/players/525124/jordan-allen,7,False,,76,3,5,Attacker,,Jordan,Allen,76.0,1894271,6606.0,,,,,,,,,,,,,,,,,,
0,525131,False,https://images.fotmob.com/image_resources/playerimages/525131.png,/players/525131/luke-mulholland,19,False,,,2,3,Midfielder,,Luke,Mulholland,,1894271,6606.0,,,,,,,,,,,,,,,,,,
1,49552,False,https://images.fotmob.com/image_resources/playerimages/49552.png,/players/49552/kyle-beckerman,5,False,,,2,3,Midfielder,,Kyle,Beckerman,,1894271,6606.0,,,,,,,,,,,,,,,,,,
2,18594,False,https://images.fotmob.com/image_resources/playerimages/18594.png,/players/18594/javier-damian-morales,11,False,,,2,3,Midfielder,,Javier Damian,Morales,,1894271,6606.0,,,,,,,,,,,,,,,,,,
0,115989,False,https://images.fotmob.com/image_resources/playerimages/115989.png,/players/115989/kenny-mansally,29,False,,,1,1,Defender,,Kenny,Mansally,,1894271,6606.0,,,,,,,,,,,,,,,,,,
1,198450,False,https://images.fotmob.com/image_resources/playerimages/198450.png,/players/198450/chris-schuler,28,False,,,1,1,Defender,,Chris,Schuler,,1894271,6606.0,,,,,,,,,,,,,,,,,,
2,50066,False,https://images.fotmob.com/image_resources/playerimages/50066.png,/players/50066/jamison-olave,4,False,,,1,1,Defender,,Jamison,Olave,,1894271,6606.0,,,,,,,,,,,,,,,,,,
3,116000,False,https://images.fotmob.com/image_resources/playerimages/116000.png,/players/116000/tony-beltran,2,False,,,1,1,Defender,,Tony,Beltran,,1894271,6606.0,,,,,,,,,,,,,,,,,,
0,70336,False,https://images.fotmob.com/image_resources/playerimages/70336.png,/players/70336/nick-rimando,18,False,,,0,0,Keeper,,Nick,Rimando,,1894271,6606.0,,,,,,,,,,,,,,,,,,
0,50656,False,https://images.fotmob.com/image_resources/playerimages/50656.png,/players/50656/luis-marin,1,True,,,0,0,Keeper,,Luis,Marin,,1894272,6604.0,,,,,,,,,,,,,,,,,,
0,254878,False,https://images.fotmob.com/image_resources/playerimages/254878.png,/players/254878/jalil-anibaba,23,True,,,1,1,Defender,,Jalil,Anibaba,,1894272,6604.0,,,,,,,,,,,,,,,,,,
1,198461,False,https://images.fotmob.com/image_resources/playerimages/198461.png,/players/198461/ikenna-ike-opara,3,True,,,1,1,Defender,,Ikenna Ike,Opara,,1894272,6604.0,,,,,,,,,,,,,,,,,,
2,168175,False,https://images.fotmob.com/image_resources/playerimages/168175.png,/players/168175/matt-besler,5,True,,,1,1,Defender,,Matt,Besler,,1894272,6604.0,,,,,,,,,,,,,,,,,,
3,45464,False,https://images.fotmob.com/image_resources/playerimages/45464.png,/players/45464/marcel-de-jong,71,True,,46.0,1,1,Defender,,Marcel,De Jong,46.0,1894272,6604.0,,,,,,,,,,,,,,,,,,
0,27153,False,https://images.fotmob.com/image_resources/playerimages/27153.png,/players/27153/benny-feilhaber,10,True,,,2,3,Midfielder,,Benny,Feilhaber,,1894272,6604.0,,,,,,,,,,,,,,,,,,
1,254989,False,https://images.fotmob.com/image_resources/playerimages/254989.png,/players/254989/servando-carrasco,16,True,,78.0,2,3,Midfielder,,Servando,Carrasco,78.0,1894272,6604.0,,,,,,,,,,,,,,,,,,
2,71844,False,https://images.fotmob.com/image_resources/playerimages/71844.png,/players/71844/roger-espinoza,27,True,,,2,3,Midfielder,,Roger,Espinoza,,1894272,6604.0,,,,,,,,,,,,,,,,,,
0,69464,False,https://images.fotmob.com/image_resources/playerimages/69464.png,/players/69464/jacob-peterson,37,True,,,3,5,Attacker,,Jacob,Peterson,,1894272,6604.0,,,,,,,,,,,,,,,,,,
1,309797,False,https://images.fotmob.com/image_resources/playerimages/309797.png,/players/309797/dominic-dwyer,14,True,,,3,5,Attacker,,Dominic,Dwyer,,1894272,6604.0,,,,,,,,,,,,,,,,,,
2,486461,False,https://images.fotmob.com/image_resources/playerimages/486461.png,/players/486461/jimmy-medranda,94,True,,64.0,3,5,Attacker,,Jimmy,Medranda,64.0,1894272,6604.0,,,,,,,,,,,,,,,,,,
0,211146,False,https://images.fotmob.com/image_resources/playerimages/211146.png,/players/211146/fernando-aristeguieta,18,False,,,3,5,Attacker,,Fernando,Aristeguieta,,1894272,191716.0,,,,,,,,,,,,,,,,,,
0,168057,False,https://images.fotmob.com/image_resources/playerimages/168057.png,/players/168057/sebastien-le-toux,9,False,,,2,3,Midfielder,,Sebastien,Le Toux,,1894272,191716.0,,,,,,,,,,,,,,,,,,
1,621543,False,https://images.fotmob.com/image_resources/playerimages/621543.png,/players/621543/eric-ayuk-mbu,14,False,,71.0,2,3,Midfielder,,Eric Ayuk,Mbu,71.0,1894272,191716.0,,,,,,,,,,,,,,,,,,
2,308040,False,https://images.fotmob.com/image_resources/playerimages/308040.png,/players/308040/andrew-wenger,11,False,,,2,3,Midfielder,,Andrew,Wenger,,1894272,191716.0,,,,,,,,,,,,,,,,,,
0,168352,False,https://images.fotmob.com/image_resources/playerimages/168352.png,/players/168352/michael-lahoud,13,False,,,2,2,Midfielder,,Michael,Lahoud,,1894272,191716.0,,,,,,,,,,,,,,,,,,
1,69717,False,https://images.fotmob.com/image_resources/playerimages/69717.png,/players/69717/brian-carroll,7,False,,,2,2,Midfielder,,Brian,Carroll,,1894272,191716.0,,,,,,,,,,,,,,,,,,
0,291858,False,https://images.fotmob.com/image_resources/playerimages/291858.png,/players/291858/alves-fabinho,33,False,,78.0,1,1,Defender,,Alves,Fabinho,78.0,1894272,191716.0,,,,,,,,,,,,,,,,,,
1,163994,False,https://images.fotmob.com/image_resources/playerimages/163994.png,/players/163994/steven-vitoria,23,False,,,1,1,Defender,,Steven,Vitoria,,1894272,191716.0,,,,,,,,,,,,,,,,,,
2,70360,False,https://images.fotmob.com/image_resources/playerimages/70360.png,/players/70360/maurice-edu,8,False,,,1,1,Defender,,Maurice,Edu,,1894272,191716.0,,,,,,,,,,,,,,,,,,
3,307762,False,https://images.fotmob.com/image_resources/playerimages/307762.png,/players/307762/raymon-gaddis,28,False,,,1,1,Defender,,Raymon,Gaddis,,1894272,191716.0,,,,,,,,,,,,,,,,,,
0,181491,False,https://images.fotmob.com/image_resources/playerimages/181491.png,/players/181491/rais-mbolhi,92,False,,,0,0,Keeper,,Rais,M'Bolhi,,1894272,191716.0,,,,,,,,,,,,,,,,,,
0,34784,False,https://images.fotmob.com/image_resources/playerimages/34784.png,/players/34784/david-ousted,1,True,,,0,0,Keeper,,David,Ousted,,1894730,307691.0,,,,,,,,,,,,,,,,,,
0,198454,False,https://images.fotmob.com/image_resources/playerimages/198454.png,/players/198454/steven-beitashour,33,True,,,1,1,Defender,,Steven,Beitashour,,1894730,307691.0,,,,,,,,,,,,,,,,,,
1,119019,False,https://images.fotmob.com/image_resources/playerimages/119019.png,/players/119019/kendall-waston,4,True,,,1,1,Defender,,Kendall,Waston,,1894730,307691.0,,,,,,,,,,,,,,,,,,
2,210464,False,https://images.fotmob.com/image_resources/playerimages/210464.png,/players/210464/diego-rodriguez,18,True,,15.0,1,1,Defender,,Diego,Rodriguez,15.0,1894730,307691.0,,,,,,,,,,,,,,,,,,
3,498143,False,https://images.fotmob.com/image_resources/playerimages/498143.png,/players/498143/sam-adekugbe,3,True,,,1,1,Defender,,Sam,Adekugbe,,1894730,307691.0,,,,,,,,,,,,,,,,,,
0,255653,False,https://images.fotmob.com/image_resources/playerimages/255653.png,/players/255653/russell-teibert,31,True,,,2,2,Midfielder,,Russell,Teibert,,1894730,307691.0,,,,,,,,,,,,,,,,,,
1,209306,False,https://images.fotmob.com/image_resources/playerimages/209306.png,/players/209306/matias-laba,15,True,,,2,2,Midfielder,,Matias,Laba,,1894730,307691.0,,,,,,,,,,,,,,,,,,
0,210761,False,https://images.fotmob.com/image_resources/playerimages/210761.png,/players/210761/nicolas-mezquida,9,True,,57.0,2,3,Midfielder,,Nicolas,Mezquida,57.0,1894730,307691.0,,,,,,,,,,,,,,,,,,
1,50473,False,https://images.fotmob.com/image_resources/playerimages/50473.png,/players/50473/pedro-morales,77,True,,,2,3,Midfielder,,Pedro,Morales,,1894730,307691.0,,,,,,,,,,,,,,,,,,
2,309555,False,https://images.fotmob.com/image_resources/playerimages/309555.png,/players/309555/darren-mattocks,11,True,,90.0,2,3,Midfielder,,Darren,Mattocks,90.0,1894730,307691.0,,,,,,,,,,,,,,,,,,
0,410821,False,https://images.fotmob.com/image_resources/playerimages/410821.png,/players/410821/octavio-rivero,29,True,,,3,5,Attacker,,Octavio,Rivero,,1894730,307691.0,,,,,,,,,,,,,,,,,,
0,69675,False,https://images.fotmob.com/image_resources/playerimages/69675.png,/players/69675/kei-ansu-kamara,23,False,,,3,5,Attacker,,Kei Ansu,Kamara,,1894730,6001.0,,,,,,,,,,,,,,,,,,
0,255001,False,https://images.fotmob.com/image_resources/playerimages/255001.png,/players/255001/justin-meram,9,False,,,2,3,Midfielder,,Justin,Meram,,1894730,6001.0,,,,,,,,,,,,,,,,,,
1,308896,False,https://images.fotmob.com/image_resources/playerimages/308896.png,/players/308896/ben-speas,17,False,,70.0,2,3,Midfielder,,Ben,Speas,70.0,1894730,6001.0,,,,,,,,,,,,,,,,,,
2,308889,False,https://images.fotmob.com/image_resources/playerimages/308889.png,/players/308889/ethan-finlay,13,False,,,2,3,Midfielder,,Ethan,Finlay,,1894730,6001.0,,,,,,,,,,,,,,,,,,
0,198445,False,https://images.fotmob.com/image_resources/playerimages/198445.png,/players/198445/tony-tchani,6,False,,,2,2,Midfielder,,Tony,Tchani,,1894730,6001.0,,,,,,,,,,,,,,,,,,
1,431896,False,https://images.fotmob.com/image_resources/playerimages/431896.png,/players/431896/wil-trapp,20,False,,46.0,2,2,Midfielder,,Wil,Trapp,46.0,1894730,6001.0,,,,,,,,,,,,,,,,,,
0,397030,False,https://images.fotmob.com/image_resources/playerimages/397030.png,/players/397030/chris-klute,3,False,,,1,1,Defender,,Chris,Klute,,1894730,6001.0,,,,,,,,,,,,,,,,,,
1,69984,False,https://images.fotmob.com/image_resources/playerimages/69984.png,/players/69984/tyson-wahl,2,False,,,1,1,Defender,,Tyson,Wahl,,1894730,6001.0,,,,,,,,,,,,,,,,,,
2,70288,False,https://images.fotmob.com/image_resources/playerimages/70288.png,/players/70288/michael-parkhurst,4,False,,,1,1,Defender,,Michael,Parkhurst,,1894730,6001.0,,,,,,,,,,,,,,,,,,
3,254855,False,https://images.fotmob.com/image_resources/playerimages/254855.png,/players/254855/hector-jimenez,16,False,,70.0,1,1,Defender,,Hector,Jimenez,70.0,1894730,6001.0,,,,,,,,,,,,,,,,,,
0,195770,False,https://images.fotmob.com/image_resources/playerimages/195770.png,/players/195770/steve-clark,1,False,,,0,0,Keeper,,Steve,Clark,,1894730,6001.0,,,,,,,,,,,,,,,,,,
0,70338,False,https://images.fotmob.com/image_resources/playerimages/70338.png,/players/70338/chris-seitz,18,True,,,0,0,Keeper,,Chris,Seitz,,1894273,7949.0,,,,,,,,,,,,,,,,,,
0,261475,False,https://images.fotmob.com/image_resources/playerimages/261475.png,/players/261475/je-vaughn-watson,27,True,,,1,1,Defender,,Je-Vaughn,Watson,,1894273,7949.0,,,,,,,,,,,,,,,,,,
1,198435,False,https://images.fotmob.com/image_resources/playerimages/198435.png,/players/198435/zach-loyd,17,True,,,1,1,Defender,,Zach,Loyd,,1894273,7949.0,,,,,,,,,,,,,,,,,,
2,431956,False,https://images.fotmob.com/image_resources/playerimages/431956.png,/players/431956/walker-zimmerman,25,True,,,1,1,Defender,,Walker,Zimmerman,,1894273,7949.0,,,,,,,,,,,,,,,,,,
3,254964,False,https://images.fotmob.com/image_resources/playerimages/254964.png,/players/254964/moises-hernandez,3,True,,46.0,1,1,Defender,,Moises,Hernandez,46.0,1894273,7949.0,,,,,,,,,,,,,,,,,,
0,254959,False,https://images.fotmob.com/image_resources/playerimages/254959.png,/players/254959/victor-ulloa,8,True,,,2,2,Midfielder,,Victor,Ulloa,,1894273,7949.0,,,,,,,,,,,,,,,,,,
1,39561,False,https://images.fotmob.com/image_resources/playerimages/39561.png,/players/39561/michel,31,True,,46.0,2,2,Midfielder,,,Michel,46.0,1894273,7949.0,,,,,,,,,,,,,,,,,,
0,525623,False,https://images.fotmob.com/image_resources/playerimages/525623.png,/players/525623/ryan-hollingshead,12,True,,75.0,2,3,Midfielder,,Ryan,Hollingshead,75.0,1894273,7949.0,,,,,,,,,,,,,,,,,,
1,526311,False,https://images.fotmob.com/image_resources/playerimages/526311.png,/players/526311/tesho-akindele,13,True,,,2,3,Midfielder,,Tesho,Akindele,,1894273,7949.0,,,,,,,,,,,,,,,,,,
2,207524,False,https://images.fotmob.com/image_resources/playerimages/207524.png,/players/207524/fabian-castillo,11,True,,,2,3,Midfielder,,Fabian,Castillo,,1894273,7949.0,,,,,,,,,,,,,,,,,,
0,50281,False,https://images.fotmob.com/image_resources/playerimages/50281.png,/players/50281/blas-perez,7,True,,,3,5,Attacker,,Blas,Perez,,1894273,7949.0,,,,,,,,,,,,,,,,,,
0,621537,False,https://images.fotmob.com/image_resources/playerimages/621537.png,/players/621537/dominique-badji,14,False,,89,3,5,Attacker,,Dominique,Badji,89.0,1894273,8314.0,,,,,,,,,,,,,,,,,,
0,265728,False,https://images.fotmob.com/image_resources/playerimages/265728.png,/players/265728/juan-edgardo-ramirez,15,False,,72.0,2,3,Midfielder,,Juan Edgardo,Ramirez,72.0,1894273,8314.0,,,,,,,,,,,,,,,,,,
1,431655,False,https://images.fotmob.com/image_resources/playerimages/431655.png,/players/431655/dillon-powers,8,False,,81.0,2,3,Midfielder,,Dillon,Powers,81.0,1894273,8314.0,,,,,,,,,,,,,,,,,,
2,118548,False,https://images.fotmob.com/image_resources/playerimages/118548.png,/players/118548/gabriel-torres,10,False,,,2,3,Midfielder,,Gabriel,Torres,,1894273,8314.0,,,,,,,,,,,,,,,,,,
0,49283,False,https://images.fotmob.com/image_resources/playerimages/49283.png,/players/49283/marcelo-sarvas,11,False,,,2,2,Midfielder,,Marcelo,Sarvas,,1894273,8314.0,,,,,,,,,,,,,,,,,,
1,279887,False,https://images.fotmob.com/image_resources/playerimages/279887.png,/players/279887/lucas-pittinari,22,False,,,2,2,Midfielder,,Lucas,Pittinari,,1894273,8314.0,,,,,,,,,,,,,,,,,,
0,69970,False,https://images.fotmob.com/image_resources/playerimages/69970.png,/players/69970/michael-harrington,5,False,,,1,1,Defender,,Michael,Harrington,,1894273,8314.0,,,,,,,,,,,,,,,,,,
1,69700,False,https://images.fotmob.com/image_resources/playerimages/69700.png,/players/69700/drew-moor,3,False,,,1,1,Defender,,Drew,Moor,,1894273,8314.0,,,,,,,,,,,,,,,,,,
2,115899,False,https://images.fotmob.com/image_resources/playerimages/115899.png,/players/115899/bobby-burling,23,False,,,1,1,Defender,,Bobby,Burling,,1894273,8314.0,,,,,,,,,,,,,,,,,,
3,70290,False,https://images.fotmob.com/image_resources/playerimages/70290.png,/players/70290/james-riley,16,False,,,1,1,Defender,,James,Riley,,1894273,8314.0,,,,,,,,,,,,,,,,,,
0,431653,False,https://images.fotmob.com/image_resources/playerimages/431653.png,/players/431653/clint-irwin,1,False,,,0,0,Keeper,,Clint,Irwin,,1894273,8314.0,,,,,,,,,,,,,,,,,,
0,176027,False,https://images.fotmob.com/image_resources/playerimages/176027.png,/players/176027/bobby-shuttleworth,22,True,,,0,0,Keeper,,Bobby,Shuttleworth,,1894274,6580.0,,,,,,,,,,,,,,,,,,
0,168162,False,https://images.fotmob.com/image_resources/playerimages/168162.png,/players/168162/darrius-barnes,25,True,,,1,1,Defender,,Darrius,Barnes,,1894274,6580.0,,,,,,,,,,,,,,,,,,
1,431646,False,https://images.fotmob.com/image_resources/playerimages/431646.png,/players/431646/andrew-farrell,2,True,,,1,1,Defender,,Andrew,Farrell,,1894274,6580.0,,,,,,,,,,,,,,,,,,
2,32589,False,https://images.fotmob.com/image_resources/playerimages/32589.png,/players/32589/josé-goncalves,23,True,,,1,1,Defender,,José,Goncalves,,1894274,6580.0,,,,,,,,,,,,,,,,,,
3,168163,False,https://images.fotmob.com/image_resources/playerimages/168163.png,/players/168163/kevin-alston,30,True,,,1,1,Defender,,Kevin,Alston,,1894274,6580.0,,,,,,,,,,,,,,,,,,
0,431645,False,https://images.fotmob.com/image_resources/playerimages/431645.png,/players/431645/scott-caldwell,6,True,,,2,2,Midfielder,,Scott,Caldwell,,1894274,6580.0,,,,,,,,,,,,,,,,,,
1,27483,False,https://images.fotmob.com/image_resources/playerimages/27483.png,/players/27483/jermaine-jones,13,True,,46.0,2,2,Midfielder,,Jermaine,Jones,46.0,1894274,6580.0,,,,,,,,,,,,,,,,,,
0,308827,False,https://images.fotmob.com/image_resources/playerimages/308827.png,/players/308827/kelyn-rowe,11,True,,59.0,2,3,Midfielder,,Kelyn,Rowe,59.0,1894274,6580.0,,,,,,,,,,,,,,,,,,
1,26438,False,https://images.fotmob.com/image_resources/playerimages/26438.png,/players/26438/lee-nguyen,24,True,,,2,3,Midfielder,,Lee,Nguyen,,1894274,6580.0,,,,,,,,,,,,,,,,,,
2,198471,False,https://images.fotmob.com/image_resources/playerimages/198471.png,/players/198471/teal-bunbury,10,True,,,3,3,Attacker,,Teal,Bunbury,,1894274,6580.0,,,,,,,,,,,,,,,,,,
0,199297,False,https://images.fotmob.com/image_resources/playerimages/199297.png,/players/199297/juan-agudelo,17,True,,77,3,5,Attacker,,Juan,Agudelo,77.0,1894274,6580.0,,,,,,,,,,,,,,,,,,
0,69675,False,https://images.fotmob.com/image_resources/playerimages/69675.png,/players/69675/kei-ansu-kamara,23,False,,84,3,5,Attacker,,Kei Ansu,Kamara,84.0,1894274,6001.0,,,,,,,,,,,,,,,,,,
0,255001,False,https://images.fotmob.com/image_resources/playerimages/255001.png,/players/255001/justin-meram,9,False,,,3,3,Attacker,,Justin,Meram,,1894274,6001.0,,,,,,,,,,,,,,,,,,
1,36098,False,https://images.fotmob.com/image_resources/playerimages/36098.png,/players/36098/federico-higuain,10,False,,,2,3,Midfielder,,Federico,Higuain,,1894274,6001.0,,,,,,,,,,,,,,,,,,
2,308889,False,https://images.fotmob.com/image_resources/playerimages/308889.png,/players/308889/ethan-finlay,13,False,,74.0,3,3,Attacker,,Ethan,Finlay,74.0,1894274,6001.0,,,,,,,,,,,,,,,,,,
0,198445,False,https://images.fotmob.com/image_resources/playerimages/198445.png,/players/198445/tony-tchani,6,False,,,2,2,Midfielder,,Tony,Tchani,,1894274,6001.0,,,,,,,,,,,,,,,,,,
1,309866,False,https://images.fotmob.com/image_resources/playerimages/309866.png,/players/309866/mohammed-saeid,8,False,,,3,2,Attacker,,Mohammed,Saeid,,1894274,6001.0,,,,,,,,,,,,,,,,,,
0,397030,False,https://images.fotmob.com/image_resources/playerimages/397030.png,/players/397030/christopher-klute,3,False,,67.0,1,1,Defender,,Christopher,Klute,67.0,1894274,6001.0,,,,,,,,,,,,,,,,,,
1,24167,False,https://images.fotmob.com/image_resources/playerimages/24167.png,/players/24167/emanuel-pogatetz,5,False,,,1,1,Defender,,Emanuel,Pogatetz,,1894274,6001.0,,,,,,,,,,,,,,,,,,
2,70288,False,https://images.fotmob.com/image_resources/playerimages/70288.png,/players/70288/michael-parkhurst,4,False,,,1,1,Defender,,Michael,Parkhurst,,1894274,6001.0,,,,,,,,,,,,,,,,,,
3,158520,False,https://images.fotmob.com/image_resources/playerimages/158520.png,/players/158520/hernan-gustavo-grana,27,False,,,1,1,Defender,,Hernan Gustavo,Grana,,1894274,6001.0,,,,,,,,,,,,,,,,,,
0,195770,False,https://images.fotmob.com/image_resources/playerimages/195770.png,/players/195770/steve-clark,1,False,,,0,0,Keeper,,Steve,Clark,,1894274,6001.0,,,,,,,,,,,,,,,,,,
0,621541,False,https://images.fotmob.com/image_resources/playerimages/621541.png,/players/621541/john-mccarthy,55,True,,,0,0,Keeper,,John,McCarthy,,1894731,191716.0,,,,,,,,,,,,,,,,,,
0,214451,False,https://images.fotmob.com/image_resources/playerimages/214451.png,/players/214451/sheanon-williams,25,True,,,1,1,Defender,,Sheanon,Williams,,1894731,191716.0,,,,,,,,,,,,,,,,,,
1,70360,False,https://images.fotmob.com/image_resources/playerimages/70360.png,/players/70360/maurice-edu,8,True,,,1,1,Defender,,Maurice,Edu,,1894731,191716.0,,,,,,,,,,,,,,,,,,
2,163994,False,https://images.fotmob.com/image_resources/playerimages/163994.png,/players/163994/steven-vitoria,23,True,,,1,1,Defender,,Steven,Vitoria,,1894731,191716.0,,,,,,,,,,,,,,,,,,
3,307762,False,https://images.fotmob.com/image_resources/playerimages/307762.png,/players/307762/raymon-gaddis,28,True,,,1,1,Defender,,Raymon,Gaddis,,1894731,191716.0,,,,,,,,,,,,,,,,,,
0,168352,False,https://images.fotmob.com/image_resources/playerimages/168352.png,/players/168352/michael-lahoud,13,True,,,2,2,Midfielder,,Michael,Lahoud,,1894731,191716.0,,,,,,,,,,,,,,,,,,
1,94325,False,https://images.fotmob.com/image_resources/playerimages/94325.png,/players/94325/vincent-nogueira,5,True,,,2,2,Midfielder,,Vincent,Nogueira,,1894731,191716.0,,,,,,,,,,,,,,,,,,
0,308040,False,https://images.fotmob.com/image_resources/playerimages/308040.png,/players/308040/andrew-wenger,11,True,,,2,3,Midfielder,,Andrew,Wenger,,1894731,191716.0,,,,,,,,,,,,,,,,,,
1,254852,False,https://images.fotmob.com/image_resources/playerimages/254852.png,/players/254852/zach-pfeffer,27,True,,84.0,2,3,Midfielder,,Zach,Pfeffer,84.0,1894731,191716.0,,,,,,,,,,,,,,,,,,
2,621543,False,https://images.fotmob.com/image_resources/playerimages/621543.png,/players/621543/eric-ayuk-mbu,14,True,,72.0,2,3,Midfielder,,Eric Ayuk,Mbu,72.0,1894731,191716.0,,,,,,,,,,,,,,,,,,
0,168057,False,https://images.fotmob.com/image_resources/playerimages/168057.png,/players/168057/sebastien-le-toux,9,True,,66,3,5,Attacker,,Sebastien,Le Toux,66.0,1894731,191716.0,,,,,,,,,,,,,,,,,,
0,30909,False,https://images.fotmob.com/image_resources/playerimages/30909.png,/players/30909/david-villa,7,False,,,3,5,Attacker,,David,Villa,,1894731,546238.0,,,,,,,,,,,,,,,,,,
1,12245,False,https://images.fotmob.com/image_resources/playerimages/12245.png,/players/12245/adam-nemec,32,False,,72.0,3,5,Attacker,,Adam,Nemec,72.0,1894731,546238.0,,,,,,,,,,,,,,,,,,
0,69671,False,https://images.fotmob.com/image_resources/playerimages/69671.png,/players/69671/ned-grabavoy,11,False,,,2,3,Midfielder,,Ned,Grabavoy,,1894731,546238.0,,,,,,,,,,,,,,,,,,
1,122055,False,https://images.fotmob.com/image_resources/playerimages/122055.png,/players/122055/mikkel-diskerud,10,False,,,2,3,Midfielder,,Mikkel,Diskerud,,1894731,546238.0,,,,,,,,,,,,,,,,,,
2,113068,False,https://images.fotmob.com/image_resources/playerimages/113068.png,/players/113068/andrew-jacobson,4,False,,,2,3,Midfielder,,Andrew,Jacobson,,1894731,546238.0,,,,,,,,,,,,,,,,,,
3,309581,False,https://images.fotmob.com/image_resources/playerimages/309581.png,/players/309581/sebastian-velasquez,26,False,,46.0,2,3,Midfielder,,Sebastian,Velasquez,46.0,1894731,546238.0,,,,,,,,,,,,,,,,,,
0,255654,False,https://images.fotmob.com/image_resources/playerimages/255654.png,/players/255654/jeb-brovsky,5,False,,,1,1,Defender,,Jeb,Brovsky,,1894731,546238.0,,,,,,,,,,,,,,,,,,
1,69466,False,https://images.fotmob.com/image_resources/playerimages/69466.png,/players/69466/chris-wingert,17,False,,,1,1,Defender,,Chris,Wingert,,1894731,546238.0,,,,,,,,,,,,,,,,,,
